hotelId,hotelName,star,reviewScore,reviewScoreText,reviewCount,cityId,cityName,districtId,districtName,latitude,longitude,nearbyLandmark,minPrice,avgPrice,originalPrice,currency,roomsLeft,lastBookedText,buttonContent,isSoldOut,hotelType,description,amenities,roomTypes,fullAddress
3916125728,Thư viện ảnh về Luxeasy Villa Indochine Style Near Metro,0,,,,94122,Ho Chi Minh City,,,,,,,,,USD,,,"Giá cũ là 51.674.460 ₫
51.674.460 ₫",,Luxeasy Villa Indochine Style Near Metro,,"Mở app, VND, Hỗ trợ, Chuyến đi, Chính sách, Toàn bộ ngôi nhà, Hồ bơi nhỏ riêng, Bồn tắm nóng riêng (trong nhà), Bao gồm đậu xe tự phục vụ, Bếp, Máy giặt và máy sấy, Máy điều hòa, Siêu thị Metro, ‪5 phút đi bộ‬, Trung tâm Thương mại Vincom Mega Mall, ‪8 phút đi bộ‬, Sông Sài Gòn
Place, Sông Sài Gòn
‪4 phút đi xe‬, Sông Sài Gòn, ‪4 phút đi xe‬, ‪18 phút đi xe‬",,"24B Đường số 9, An Khánh, TP. Hồ Chí Minh, TP.Hồ Chí Minh, 70000"
1194025888,Thư viện ảnh về Mia SaiGon Luxury Boutique Hotel,0,,,391,,,Q2,,,,Thảo Điền,,,,USD,,,2 hồ bơi ngoài trời,,Mia SaiGon Luxury Boutique Hotel,,"Mở app, VND, Hỗ trợ, Chuyến đi, Phòng, Hỗ trợ người khuyết tật, Chính sách, Ngoại hạng, 2 hồ bơi ngoài trời, Bao gồm bữa sáng buffet, Bao gồm đậu xe tự phục vụ, Có dịch vụ đưa đón sân bay 24 giờ, Nhà hàng cao cấp, Spa đầy đủ liệu pháp, Sông Sài Gòn
Place, Sông Sài Gòn
‪3 phút đi bộ‬, Sông Sài Gòn, ‪3 phút đi bộ‬, Trung tâm Thương mại Vincom Mega Mall, ‪19 phút đi bộ‬, Siêu thị Metro, ‪3 phút đi xe‬, ‪20 phút đi xe‬",,"2-4 Đường số 10, P.An Khánh, Q.2, TP. Hồ Chí Minh, 700000"
3430397184,Landmark 81 Residence Skyline,0,,,92,94122,Ho Chi Minh City,,,,,,,,,USD,,,Đăng nhập để tiết kiệm hơn nữa,,,,"Mở app, VND, Hỗ trợ, Chuyến đi, Chính sách, Toàn bộ căn hộ, Xuất sắc, Bồn tắm nóng trong spa, Có bãi đậu xe có người phục vụ, Bếp, Máy giặt, Máy điều hòa, Ban công, Công viên Vinhomes Central Park, ‪2 phút đi bộ‬, Landmark 81
Place, Landmark 81
‪2 phút đi bộ‬, Landmark 81, Sông Sài Gòn
Place, Sông Sài Gòn
‪7 phút đi bộ‬, Sông Sài Gòn, ‪7 phút đi bộ‬, ‪15 phút đi xe‬",,"208 Nguyễn Hữu Cảnh, TP. Hồ Chí Minh, 72324"
555246,The Reverie Saigon Residential Suites,0,,,115,94122,Ho Chi Minh City,Q1,,,,,,,,USD,,,,,"Khách sạn sang trọng với spa, gần Union Square",,"Mở app, VND, Hỗ trợ, Chuyến đi, Phòng, Hỗ trợ người khuyết tật, Chính sách, Ngoại hạng, 1 hồ bơi ngoài trời, Có bữa sáng đầy đủ, Bao gồm đậu xe tự phục vụ, Có dịch vụ đưa đón sân bay 24 giờ, Nhà hàng Trung Hoa, Spa đầy đủ liệu pháp, 57-69F Đồng Khởi, Q.1, TP.Hồ Chí Minh, Đường Đồng Khởi, ‪1 phút đi bộ‬, Nhà hát Thành phố Hồ Chí Minh, ‪5 phút đi bộ‬, Tháp Tài chính Bitexco, ‪16 phút đi xe‬",,"57-69F Đồng Khởi, Q.1, TP.Hồ Chí Minh"
390629,Alagon City Hotel & Spa,0,,,386,94122,Ho Chi Minh City,Q1,,,,,9277505,,,VND,,,"Giá cũ là 17.504.727 ₫
17.504.727 ₫",,Alagon City Hotel & Spa,,"Mở app, VND, Hỗ trợ, Chuyến đi, Phòng, Hỗ trợ người khuyết tật, Chính sách, Tốt, 1 hồ bơi ngoài trời, Có bữa sáng buffet, Có dịch vụ xe limo/xe hạng sang, 1 nhà hàng, Spa đầy đủ liệu pháp, Wifi miễn phí, Phạm Ngũ Lão
Place, Phạm Ngũ Lão
‪3 phút đi bộ‬, Phạm Ngũ Lão, ‪3 phút đi bộ‬, Chợ Bến Thành
Place, Chợ Bến Thành
‪5 phút đi bộ‬, Chợ Bến Thành, ‪5 phút đi bộ‬, Phố đi bộ Bùi Viện, ‪15 phút đi xe‬",,"56-58 Phạm Hồng Thái, P.Bến Thành, Q.1, TP. Hồ Chí Minh"
3197657088,Hilton Saigon,0,,,142,94122,Ho Chi Minh City,,,,,,9025000,,,VND,,,,,"Khách sạn sang trọng với 3 nhà hàng, gần Chợ Bến Thành",,"Mở app, VND, Hỗ trợ, Chuyến đi, Phòng, Hỗ trợ người khuyết tật, Chính sách, Ngoại hạng, 1 hồ bơi ngoài trời, Có bữa sáng buffet, Có bãi đậu xe tự phục vụ, Có dịch vụ đưa đón sân bay 24 giờ, 3 nhà hàng, Spa đầy đủ liệu pháp, 11 Công Trường Mê Linh, Ho Chi Minh City, Đường Đồng Khởi, ‪2 phút đi bộ‬, Sông Sài Gòn
Place, Sông Sài Gòn
‪3 phút đi bộ‬, Sông Sài Gòn, ‪3 phút đi bộ‬, Nhà hát Thành phố Hồ Chí Minh, ‪7 phút đi bộ‬, ‪15 phút đi xe‬",,"11 Công Trường Mê Linh, Ho Chi Minh City"
3325249408,RiverGate Apartment - Saigon Luxury D1,0,,,11,94122,Ho Chi Minh City,,,,,,8818342,,,VND,,,Đăng nhập để tiết kiệm hơn nữa,,RiverGate Apartment - Saigon Luxury D1,,"Mở app, VND, Hỗ trợ, Chuyến đi, Chính sách, Toàn bộ căn hộ, Ngoại hạng, 1 hồ bơi ngoài trời, Có bãi đậu xe có người phục vụ, Bếp, Máy giặt, Máy điều hòa, Sân chơi trong khuôn viên, 151 Bến Vân Đồn, TP. Hồ Chí Minh, 70000, Phố đi bộ Bùi Viện, ‪12 phút đi bộ‬, Phạm Ngũ Lão
Place, Phạm Ngũ Lão
‪14 phút đi bộ‬, Phạm Ngũ Lão, ‪14 phút đi bộ‬, Chợ Bến Thành
Place, Chợ Bến Thành
‪17 phút đi bộ‬, Chợ Bến Thành, ‪17 phút đi bộ‬, ‪17 phút đi xe‬",,"151 Bến Vân Đồn, TP. Hồ Chí Minh, 70000"
325999,JW Marriott Hotel & Suites Saigon,0,,,333,94122,Ho Chi Minh City,,,,,,8700000,,,VND,,,,,JW Marriott Hotel & Suites Saigon,,"Mở app, VND, Hỗ trợ, Chuyến đi, Phòng, Hỗ trợ người khuyết tật, Chính sách, Ngoại hạng, 1 hồ bơi ngoài trời, Bồn tắm nóng trong spa, Có bữa sáng buffet, Bao gồm đậu xe tự phục vụ, Có dịch vụ đưa đón sân bay 24 giờ, Nhà hàng ẩm thực quốc tế, Đường Đồng Khởi, ‪3 phút đi bộ‬, Bưu điện Trung tâm Sài Gòn, Nhà thờ Đức Bà Sài Gòn, ‪5 phút đi bộ‬, ‪13 phút đi xe‬",,"Giao lộ Hai Bà Trưng - Lê Duẩn, TP.Hồ Chí Minh, 70000"
3944874368,Kotrip Luxury Vacation Le'man Residence,0,,,,94122,Ho Chi Minh City,,,,,,8522794,,,VND,,,"Giá cũ là 12.175.420 ₫
12.175.420 ₫",,Khách sạn căn hộ,,"Mở app, VND, Hỗ trợ, Chuyến đi, Chính sách, 1 hồ bơi ngoài trời, Bao gồm đậu xe tự phục vụ, Bếp, Máy giặt và máy sấy, Máy điều hòa, Khu giải trí ngoài trời, Bảo tàng Chứng tích Chiến tranh, ‪2 phút đi bộ‬, Dinh Độc Lập
Place, Dinh Độc Lập
‪8 phút đi bộ‬, Dinh Độc Lập, ‪8 phút đi bộ‬, Chợ Bến Thành
Place, Chợ Bến Thành
‪14 phút đi bộ‬, Chợ Bến Thành, ‪14 phút đi bộ‬, ‪13 phút đi xe‬",,"117 Nguyễn Đình Chiểu, TP.Hồ Chí Minh, TP.Hồ Chí Minh, 70000"
1846428064,JooHouse Lux,0,,,,,,,,,,Quận Bình Thạnh,8333333,,,VND,,,Đăng nhập để tiết kiệm hơn nữa,,Khách sạn khá gần Landmark 81,,"Mở app, VND, Hỗ trợ, Chuyến đi, Phòng, Hỗ trợ người khuyết tật, Chính sách, Bao gồm đậu xe tự phục vụ, Wifi miễn phí, Máy điều hòa, Sông Sài Gòn
Place, Sông Sài Gòn
‪5 phút đi bộ‬, Sông Sài Gòn, ‪5 phút đi bộ‬, Công viên Văn Thánh, ‪5 phút đi xe‬, Landmark 81
Place, Landmark 81
‪7 phút đi xe‬, Landmark 81, ‪7 phút đi xe‬, ‪13 phút đi xe‬",,"17/7 Thanh Đa, P.27, Bình Thạnh, TP.Hồ Chí Minh, 700000"
