Source,location,Hotel Name,Hotel Link,room_type,room_class,bed_type,Final Price,Max People,Area_m2,Facilities
Ivivu,binh-duong,Khách sạn Lavender Bình Dương,https://www.ivivu.com/khach-san-binh-duong/khach-san-lavender-binh-duong,Garden View Two Bedroom Suite,Suite,Single,13289500.0,3.0,121.0,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng vườn; 121 m²; Phòng không hút thuốc; Ban công; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 2 phòng ngủ; 1 Giường King; 2 Giường đơn
Ivivu,binh-duong,Khách sạn Lavender Bình Dương,https://www.ivivu.com/khach-san-binh-duong/khach-san-lavender-binh-duong,River View Signature Suite,Suite,King,15996500.0,3.0,206.0,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng sông; 206 m²; Phòng không hút thuốc; Vòi hoa sen; Máy lạnh; 1 Giường King
Ivivu,binh-duong,Khách sạn Lavender Bình Dương,https://www.ivivu.com/khach-san-binh-duong/khach-san-lavender-binh-duong,Garden Two Bedroom Pool Villa,Luxury,Single,19067500.0,3.0,174.0,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng vườn; 174 m²; Phòng không hút thuốc; Ban công; Hồ bơi; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 2 phòng ngủ; 1 Giường King; 2 Giường đơn
Ivivu,binh-duong,Khách sạn Lavender Bình Dương,https://www.ivivu.com/khach-san-binh-duong/khach-san-lavender-binh-duong,Riverfront Two Bedroom Pool Villa,Luxury,Single,22138500.0,3.0,177.0,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng sông; 177 m²; Phòng không hút thuốc; Ban công; Hồ bơi; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 2 phòng ngủ; 1 Giường King; 2 Giường đơn
Ivivu,binh-duong,Khách sạn Lavender Bình Dương,https://www.ivivu.com/khach-san-binh-duong/khach-san-lavender-binh-duong,Riverfront Pool Villa,Luxury,King,15675500.0,3.0,130.0,Hướng sông; 85 m²; Hướng vườn; 121 m²; Hướng sông; 206 m²; Hướng vườn; 174 m²; Hướng sông; 177 m²; Hướng vườn; 64 m²; Hướng sông; 64 m²; Hướng vườn; 107 m²; Hướng vườn; 100 m²; Hướng sông; 130 m²; Hướng sông; 130 m²; Phòng không hút thuốc; Ban công; Hồ bơi; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Giường King
Ivivu,binh-duong,Fairfield by Marriott South Bình Dương,https://www.ivivu.com/khach-san-binh-duong/fairfield-by-marriott-south-binh-duong,The Level 2-Bedroom Lakefront Pool Villa,Luxury,Unknown,25568666.0,5.0,240.0,Hướng vườn; 47 m²; Hướng biển; 47 m²; Hướng vườn; 54 m²; Hướng biển | nội khu; 88 m²; Hướng vườn | hồ; 240 m²; Hướng biển; 465 m²; Hướng vườn | hồ; 350 m²; Hướng vườn | hồ; 240 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Ban công; Hồ bơi; Vòi hoa sen / Bồn tắm nằm; 2 phòng ngủ; Khả năng tiếp cận cho người khó đi lại; Ấm nước điện; Áo choàng tắm; Bồn tắm; Sản phẩm vệ sinh; Máy sấy tóc; Gương; phòng tắm riêng; Bồn tắm/vòi sen riêng; Vòi sen; Vật dụng tắm rửa; Các loại khăn; Truy cập Internet - không dây; Tiện nghi bể bơi; Truyền hình cáp/vệ tinh; Điện thoại; TV; TV [màn hình phẳng]; Thiết bị chơi điện tử; Wi-Fi [miễn phí]; Điều hòa; Đồng hồ báo thức; Rèm che ánh sáng; Chăn điện; Được vào phòng chờ Thương Gia; Quạt; Vải trải giường; Lối đi riêng; Đồ dùng cho giấc ngủ thoải mái; Dép đi trong nhà; Ổ cắm điện gần giường; Cách âm; Ô; Dịch vụ báo thức; Tiện nghi BBQ; Máy pha trà/cà phê; Trà miễn phí; Bàn ăn; Nước đóng chai miễn phí; Trái cây/đồ ăn vặt; Lò vi sóng; Tủ lạnh nhỏ trong phòng; Tủ lạnh; Ly rượu vang; Ban công/sân hiên; Bàn làm việc; Lò sưởi; tầng trệt; Cửa sổ có thể mở ra; Đồ gỗ ngoài trời; Bể bơi riêng; Khu vực tiếp khách; Khu vực ăn uống riêng; Ghế sofa; Thùng rác; Cửa sổ; Tủ quần áo; Giá treo quần áo; Tiện nghi là/ủi; Điều hòa cá nhân; Két sắt trong phòng; Không hút thuốc; Tính năng an toàn/bảo mật; Đầu báo khói
Ivivu,binh-duong,Fairfield by Marriott South Bình Dương,https://www.ivivu.com/khach-san-binh-duong/fairfield-by-marriott-south-binh-duong,The Level 4-Bedrom Beachfront Pool Villa,Luxury,Unknown,40530000.0,5.0,465.0,"Hướng vườn; 47 m²; Hướng biển; 47 m²; Hướng vườn; 54 m²; Hướng biển | nội khu; 88 m²; Hướng vườn | hồ; 240 m²; Hướng biển; 465 m²; Hướng vườn | hồ; 350 m²; Hướng biển; 465 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Ban công; Hồ bơi; Vòi hoa sen / Bồn tắm nằm; 4 phòng ngủ, giường"
Ivivu,binh-duong,Fairfield by Marriott South Bình Dương,https://www.ivivu.com/khach-san-binh-duong/fairfield-by-marriott-south-binh-duong,The Level 3-Bedroom Lakefront Pool Villa,Luxury,Unknown,29190000.0,5.0,350.0,"Hướng vườn; 47 m²; Hướng biển; 47 m²; Hướng vườn; 54 m²; Hướng biển | nội khu; 88 m²; Hướng vườn | hồ; 240 m²; Hướng biển; 465 m²; Hướng vườn | hồ; 350 m²; Hướng vườn | hồ; 350 m²; Phòng không hút thuốc; Phòng cửa sổ mở; Hồ bơi; Vòi hoa sen / Bồn tắm nằm; 3 phòng ngủ, giường"
Ivivu,binh-duong,Khách sạn Hoàng Hùng,https://www.ivivu.com/khach-san-binh-duong/khach-san-hoang-hung,Royal Suite Ocean View,Luxury,Single,13225000.0,3.0,160.0,Hướng vườn; 32 m²; Hướng vườn; 32 m²; Hướng vườn; 40 m²; Hướng vườn; 40 m²; Hướng biển; 40 m²; Hướng biển; 40 m²; Hướng biển; 60 m²; Hướng biển; 160 m²; Hướng biển; 160 m²; Phòng không hút thuốc; Ban công; Hồ bơi; Cửa sổ; Bồn tắm; Vòi hoa sen; Máy lạnh; 1 Toilet; 2 phòng ngủ; 1 Giường King (2m x 2m); 2 Giường đơn (1m2 x 2m)
Ivivu,binh-duong,Hoa Cúc Phương Hotel,https://www.ivivu.com/khach-san-binh-duong/hoa-cuc-phuong-hotel,Villas 3 Bedroom Ocean View,Luxury,King,10860000.0,2.0,380.0,Hướng biển; 32 m²; Hướng vườn; 37 m²; Hướng vườn; 37 m²; Hướng biển; 37 m²; Hướng biển; 37 m²; Hướng vườn; 40 m²; Hướng vườn; 40 m²; Hướng vườn; 60 m²; Hướng biển; 60 m²; Hướng biển; 380 m²; Hướng biển; 369 m²; Hướng biển; 380 m²; Phòng không hút thuốc; Ban công; Hồ bơi; Bồn tắm; Vòi hoa sen; Máy lạnh; 3 phòng ngủ; 1 Giường King; 1 Giường King; 1 Giường King
